labels,announcements
0,1
3,2
2,3
0,5
0,7
0,8
3,9
1,12
1,13
0,14
2,15
1,17
1,18
1,20
1,21
2,22
0,24
2,25
1,26
2,27
2,29
1,30
2,31
2,32
3,33
3,35
3,37
3,38
1,39
0,41
0,42
3,44
2,45
3,46
1,47
1,48
3,49
3,50
3,51
0,52
3,53
1,54
0,55
3,56
2,57
1,58
1,59
3,60
3,61
0,62
3,63
0,64
0,65
3,66
0,68
3,69
0,70
1,71
1,72
1,73
1,74
2,75
0,76
3,78
3,80
0,81
2,82
3,83
3,84
3,85
0,86
3,87
3,88
3,89
0,90
1,91
1,92
2,93
1,94
1,95
3,96
3,97
3,98
0,99
0,100
3,101
1,102
3,104
1,105
1,107
1,108
0,109
0,110
1,111
1,112
1,113
3,114
1,116
0,117
2,118
2,119
1,120
1,123
1,124
1,126
0,127
2,128
2,129
1,130
1,131
2,132
3,133
2,134
0,135
1,136
0,137
2,138
0,139
1,140
3,141
0,142
1,143
0,144
1,145
3,146
1,147
1,148
1,149
0,150
1,151
1,153
0,154
0,155
3,156
1,158
0,159
0,161
3,162
1,163
2,164
0,165
1,168
1,169
1,170
3,172
3,173
3,174
1,175
1,178
0,181
0,182
2,183
1,184
2,185
2,186
0,187
1,188
3,190
1,191
1,192
3,193
1,194
3,195
3,196
0,197
2,198
1,199
1,200
3,201
3,202
1,203
2,204
1,205
1,207
1,208
3,209
3,210
1,211
2,212
1,213
2,214
1,215
3,216
3,217
1,218
2,219
0,220
2,221
1,222
3,223
1,224
3,225
1,226
1,227
2,228
1,229
0,230
1,231
3,232
1,233
2,234
3,235
0,236
0,237
3,238
0,239
1,240
1,241
1,242
3,243
1,244
1,245
1,246
3,247
1,248
1,249
1,250
0,251
1,252
3,253
1,254
3,255
1,256
1,257
3,259
0,260
3,261
1,263
1,264
0,265
1,266
1,267
3,268
1,269
3,270
3,271
1,272
1,273
3,274
1,276
0,277
3,278
3,279
3,280
3,281
0,283
1,284
1,285
1,286
2,287
0,288
2,289
0,291
1,292
0,294
3,295
0,296
1,297
0,298
3,299
1,301
0,302
1,303
0,305
0,306
0,307
1,309
0,310
2,311
1,312
1,313
1,314
0,315
0,316
1,317
0,318
1,319
3,320
1,322
1,323
1,324
1,325
2,327
0,328
0,329
0,331
1,332
1,334
2,335
2,336
0,337
3,338
1,339
0,341
3,342
0,343
3,344
1,345
3,346
3,347
0,348
1,349
1,350
3,351
2,352
1,353
3,354
3,355
3,356
3,358
3,359
1,360
0,361
1,362
1,363
0,364
2,365
1,368
3,369
3,370
3,371
3,372
0,373
1,374
0,375
1,377
1,378
3,379
1,380
3,381
2,382
1,385
0,388
3,389
3,390
3,391
0,392
1,393
0,394
1,395
0,396
0,397
1,398
3,400
0,401
3,402
0,403
1,404
0,405
1,408
1,409
0,411
1,412
0,413
0,414
2,415
1,416
1,417
2,418
0,419
2,420
2,421
0,422
1,423
2,424
0,426
1,428
3,430
1,431
0,432
2,433
1,434
0,435
1,436
2,437
3,438
2,439
3,440
1,441
2,442
1,443
0,444
0,445
1,446
2,447
1,448
1,449
2,450
1,451
0,452
1,453
1,454
0,455
3,456
0,457
0,458
1,459
3,460
1,461
3,462
3,463
2,465
2,466
0,467
0,468
2,469
0,471
1,472
1,473
1,474
1,475
1,476
0,478
0,479
0,480
2,481
0,482
1,483
3,485
0,486
3,487
1,488
1,489
1,490
0,491
0,492
0,494
0,495
1,496
0,497
1,498
2,499
0,500
2,501
0,502
0,504
0,505
1,506
1,507
1,508
0,509
3,510
1,511
2,512
0,513
0,516
0,517
0,518
3,519
0,520
1,521
1,522
3,523
3,524
1,526
1,527
2,528
3,529
3,530
1,531
1,533
3,534
0,535
0,536
3,538
1,539
1,540
0,541
2,542
3,543
3,544
3,545
0,546
1,547
1,548
1,549
0,550
1,551
1,552
0,554
0,555
0,556
1,557
0,558
1,559
0,560
1,561
1,562
3,563
0,564
0,565
2,566
3,567
1,569
1,570
0,571
3,572
0,574
1,575
1,576
0,578
1,579
2,580
0,581
2,582
3,583
0,584
1,586
3,587
2,588
3,589
2,590
1,591
0,593
0,594
3,596
1,597
1,598
1,599
1,600
0,601
0,602
2,603
1,604
3,605
0,606
0,607
3,608
1,609
0,610
0,611
1,612
1,613
0,614
1,615
1,616
0,617
1,618
0,619
0,620
3,621
3,623
1,624
1,625
0,626
1,627
3,628
3,629
1,630
1,631
0,632
0,633
1,634
3,635
0,636
1,637
0,638
0,639
0,640
0,641
0,643
1,645
1,646
3,648
0,649
1,650
3,651
1,652
0,653
0,654
2,655
1,656
2,657
0,658
3,659
1,660
0,661
2,662
0,663
1,664
2,665
0,666
1,667
0,669
1,670
3,671
3,672
0,674
0,675
0,676
0,677
2,678
1,679
0,680
3,681
3,682
1,683
1,684
2,685
0,686
0,687
0,688
0,689
3,690
3,692
0,695
1,697
1,698
0,699
0,700
1,701
0,702
1,704
2,706
0,708
1,709
1,710
0,711
1,713
0,714
1,715
0,716
2,717
0,718
1,720
3,721
0,722
1,723
0,724
3,725
3,726
1,727
3,729
1,730
1,731
1,732
1,733
0,734
1,735
1,736
0,737
2,739
0,740
1,741
2,742
2,743
0,744
0,745
0,747
2,748
1,749
0,750
3,751
1,752
3,753
0,754
3,755
1,756
3,758
0,761
0,762
0,764
1,767
1,768
0,769
3,772
0,773
3,774
